token	rank
to	0
of	1
the	2
in	3
for	4
a	5
on	6
and	7
with	8
is	9
new	10
trump	11
man	12
from	13
at	14
about	15
you	16
this	17
by	18
after	19
be	20
how	21
out	22
it	23
as	24
that	25
up	26
not	27
are	28
your	29
what	30
his	31
who	32
just	33
he	34
us	35
will	36
has	37
more	38
all	39
report	40
into	41
why	42
one	43
have	44
over	45
area	46
donald	47
says	48
woman	49
can	50
day	51
no	52
its	53
like	54
time	55
her	56
get	57
first	58
people	59
trumps	60
an	61
now	62
i	63
obama	64
house	65
off	66
white	67
life	68
than	69
was	70
my	71
still	72
make	73
women	74
clinton	75
back	76
we	77
down	78
when	79
if	80
could	81
years	82
family	83
their	84
do	85
world	86
americans	87
before	88
way	89
they	90
most	91
gop	92
black	93
police	94
study	95
so	96
him	97
5	98
should	99
bill	100
watch	101
show	102
best	103
would	104
but	105
being	106
really	107
cant	108
american	109
only	110
know	111
president	112
home	113
school	114
year	115
or	116
video	117
things	118
death	119
during	120
say	121
good	122
love	123
health	124
finds	125
nation	126
too	127
parents	128
going	129
state	130
may	131
hillary	132
against	133
big	134
kids	135
need	136
mom	137
last	138
campaign	139
every	140
she	141
getting	142
right	143
gets	144
party	145
these	146
10	147
take	148
some	149
change	150
3	151
dead	152
work	153
little	154
makes	155
dont	156
calls	157
america	158
news	159
our	160
own	161
never	162
doesnt	163
court	164
look	165
heres	166
through	167
while	168
nations	169
want	170
other	171
john	172
child	173
stop	174
see	175
star	176
takes	177
go	178
where	179
real	180
local	181
again	182
next	183
even	184
election	185
office	186
college	187
hes	188
guy	189
gay	190
bush	191
2	192
war	193
dad	194
thing	195
them	196
got	197
another	198
plan	199
million	200
made	201
live	202
game	203
around	204
wants	205
dog	206
baby	207
finally	208
gun	209
week	210
job	211
help	212
friends	213
congress	214
wont	215
national	216
much	217
me	218
high	219
care	220
under	221
two	222
north	223
give	224
ever	225
shows	226
couple	227
climate	228
bad	229
actually	230
7	231
there	232
sex	233
ways	234
top	235
god	236
debate	237
students	238
media	239
been	240
season	241
mans	242
money	243
story	244
shooting	245
night	246
history	247
fight	248
better	249
trying	250
senate	251
making	252
teen	253
reveals	254
facebook	255
without	256
supreme	257
4	258
men	259
business	260
sexual	261
paul	262
old	263
face	264
attack	265
any	266
had	267
city	268
children	269
announces	270
were	271
pope	272
movie	273
introduces	274
friend	275
fire	276
everyone	277
6	278
son	279
food	280
away	281
government	282
york	283
law	284
great	285
think	286
former	287
entire	288
wedding	289
tv	290
end	291
enough	292
speech	293
pretty	294
found	295
does	296
coming	297
body	298
tell	299
james	300
come	301
call	302
sanders	303
find	304
film	305
deal	306
violence	307
support	308
republican	309
public	310
self	311
photos	312
part	313
keep	314
democrats	315
book	316
single	317
girls	318
girl	319
future	320
email	321
8	322
voters	323
use	324
